"Date,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude"
"1850-05-01,18.068,1.422,Do Rud,Iran,32.95N,48.83E"
"1858-09-01,22.41,1.517,Do Rud,Iran,32.95N,48.83E"
"1867-01-01,2.908,2.153,Do Rud,Iran,32.95N,48.83E"
"1875-05-01,20.206,1.497,Do Rud,Iran,32.95N,48.83E"
"1883-09-01,23.657,0.438,Do Rud,Iran,32.95N,48.83E"
"1892-01-01,3.621,0.851,Do Rud,Iran,32.95N,48.83E"
"1900-05-01,19.345,1.332,Do Rud,Iran,32.95N,48.83E"
"1908-09-01,24.526,0.912,Do Rud,Iran,32.95N,48.83E"
"1917-01-01,4.316,1.574,Do Rud,Iran,32.95N,48.83E"
"1925-05-01,20.97,0.653,Do Rud,Iran,32.95N,48.83E"
"1933-09-01,23.251,0.314,Do Rud,Iran,32.95N,48.83E"
"1988-07-01,22.979,0.356,Orsk,Russia,50.63N,59.58E"
"1996-11-01,-4.597,0.515,Orsk,Russia,50.63N,59.58E"
"2005-03-01,-5.701,0.375,Orsk,Russia,50.63N,59.58E"
"2013-07-01,20.993,0.744,Orsk,Russia,50.63N,59.58E"
"1817-09-01,13.45,2.126,Orumiyeh,Iran,37.78N,44.75E"
"1826-11-01,5.422,1.964,Orumiyeh,Iran,37.78N,44.75E"
"1835-03-01,1.645,2.743,Orumiyeh,Iran,37.78N,44.75E"
"1843-07-01,21.199,1.391,Orumiyeh,Iran,37.78N,44.75E"
"1851-11-01,4.586,2.96,Orumiyeh,Iran,37.78N,44.75E"
"1860-03-01,-1.601,1.326,Orumiyeh,Iran,37.78N,44.75E"
"1868-07-01,21.592,1.204,Orumiyeh,Iran,37.78N,44.75E"
"2006-08-01,26.094,0.291,Vizianagaram,India,18.48N,82.82E"
"1781-01-01,-4.853,4.779,Vladikavkaz,Russia,42.59N,43.64E"
"1792-09-01,14.155,2.31,Vladikavkaz,Russia,42.59N,43.64E"
"1816-11-01,0.942,5.038,Vladikavkaz,Russia,42.59N,43.64E"
"1825-03-01,-2.006,2.385,Vladikavkaz,Russia,42.59N,43.64E"
"1833-07-01,17.044,1.673,Vladikavkaz,Russia,42.59N,43.64E"
"1841-11-01,1.072,1.416,Vladikavkaz,Russia,42.59N,43.64E"
"1850-03-01,-1.04,2.934,Vladikavkaz,Russia,42.59N,43.64E"
"1858-07-01,17.663,1.179,Vladikavkaz,Russia,42.59N,43.64E"
"1866-11-01,0.16,0.947,Vladikavkaz,Russia,42.59N,43.64E"
"1781-03-01,-4.139,1.667,Obninsk,Russia,55.45N,36.85E"
"1789-07-01,20.808,2.717,Obninsk,Russia,55.45N,36.85E"
"1797-11-01,-3.072,3.178,Obninsk,Russia,55.45N,36.85E"
"1806-03-01,-4.726,2.821,Obninsk,Russia,55.45N,36.85E"
"1814-07-01,18.185,3.163,Obninsk,Russia,55.45N,36.85E"
"1822-11-01,-0.739,3.484,Obninsk,Russia,55.45N,36.85E"
"1831-03-01,-5.442,4.018,Obninsk,Russia,55.45N,36.85E"
"1839-07-01,20.252,3.865,Obninsk,Russia,55.45N,36.85E"
"1847-11-01,-1.027,0.941,Obninsk,Russia,55.45N,36.85E"
"1856-03-01,-9.113,1.347,Obninsk,Russia,55.45N,36.85E"
"1864-07-01,18.322,0.653,Obninsk,Russia,55.45N,36.85E"
"1825-01-01,25.025,2.364,Bac Lieu,Vietnam,8.84N,106.22E"
"1846-09-01,26.579,1.327,Bac Lieu,Vietnam,8.84N,106.22E"
"1856-09-01,26.595,1.197,Bac Lieu,Vietnam,8.84N,106.22E"
"1865-11-01,26.529,1.279,Bac Lieu,Vietnam,8.84N,106.22E"
"1874-03-01,26.604,2.333,Bac Lieu,Vietnam,8.84N,106.22E"
"1882-07-01,27.969,0.464,Bac Lieu,Vietnam,8.84N,106.22E"
"1890-11-01,26.083,0.496,Bac Lieu,Vietnam,8.84N,106.22E"
"1899-03-01,24.802,0.87,Bac Lieu,Vietnam,8.84N,106.22E"
"1907-07-01,28.008,0.407,Bac Lieu,Vietnam,8.84N,106.22E"
"1915-11-01,26.394,0.434,Bac Lieu,Vietnam,8.84N,106.22E"
"1978-07-01,16.165,0.261,Kovrov,Russia,57.05N,42.79E"
"1986-11-01,-1.619,0.218,Kovrov,Russia,57.05N,42.79E"
"1995-03-01,-0.615,0.224,Kovrov,Russia,57.05N,42.79E"
"2003-07-01,20.505,0.309,Kovrov,Russia,57.05N,42.79E"
"2011-11-01,-2.154,0.221,Kovrov,Russia,57.05N,42.79E"
