Год,СредняяТемпература,ТемператураСтд,Тип,Страна,Месяц,Полушарие,Измерений,Темп_стд
1743,5.4019,4.0651,global_yearly,,,,,
1744,10.6697,7.3843,global_yearly,,,,,
1745,1.8293,6.6482,global_yearly,,,,,
1750,9.5239,8.4565,global_yearly,,,,,
1751,10.2551,8.985,global_yearly,,,,,
1752,4.291,6.0026,global_yearly,,,,,
1753,10.2517,8.6731,global_yearly,,,,,
1754,9.4463,9.0864,global_yearly,,,,,
1755,8.8143,9.1766,global_yearly,,,,,
1756,9.7539,8.5964,global_yearly,,,,,
1757,9.5371,9.6191,global_yearly,,,,,
1758,9.383,8.6374,global_yearly,,,,,
1759,9.7199,8.933,global_yearly,,,,,
1760,8.9343,8.5803,global_yearly,,,,,
1761,9.9342,9.4442,global_yearly,,,,,
1762,9.1605,8.6026,global_yearly,,,,,
1763,9.3827,8.5446,global_yearly,,,,,
1764,9.6932,8.011,global_yearly,,,,,
1765,9.2691,8.0986,global_yearly,,,,,
1766,9.6854,8.598,global_yearly,,,,,
1767,9.1837,8.79,global_yearly,,,,,
1768,9.5555,8.7556,global_yearly,,,,,
1769,9.5594,8.979,global_yearly,,,,,
1770,9.3761,8.3751,global_yearly,,,,,
1771,9.543,9.0319,global_yearly,,,,,
1772,9.9887,8.3892,global_yearly,,,,,
1773,10.6595,8.4811,global_yearly,,,,,
1774,9.7935,9.4282,global_yearly,,,,,
1775,10.4435,8.4225,global_yearly,,,,,
1776,9.7155,8.6042,global_yearly,,,,,
1777,9.1427,8.527,global_yearly,,,,,
1778,9.8614,8.3109,global_yearly,,,,,
1779,9.7515,8.2643,global_yearly,,,,,
1780,9.2804,8.9809,global_yearly,,,,,
1781,10.2048,8.8026,global_yearly,,,,,
1782,9.2372,9.2507,global_yearly,,,,,
1783,10.3362,8.991,global_yearly,,,,,
1784,9.1991,9.5737,global_yearly,,,,,
1785,8.7344,9.3696,global_yearly,,,,,
1786,9.2706,9.0834,global_yearly,,,,,
1787,9.8764,8.6693,global_yearly,,,,,
1788,10.688,9.2911,global_yearly,,,,,
1789,9.7086,9.3826,global_yearly,,,,,
1790,9.9265,8.4404,global_yearly,,,,,
1791,10.4585,8.5066,global_yearly,,,,,
1792,10.0559,8.9586,global_yearly,,,,,
1793,10.5672,8.6037,global_yearly,,,,,
1794,10.5609,8.5283,global_yearly,,,,,
1795,9.5077,8.9182,global_yearly,,,,,
1796,15.2331,10.8623,global_yearly,,,,,
1797,15.1087,10.7938,global_yearly,,,,,
1798,15.1618,10.2268,global_yearly,,,,,
1799,14.8125,11.1533,global_yearly,,,,,
1800,15.1437,10.6462,global_yearly,,,,,
1801,15.0548,10.0652,global_yearly,,,,,
1802,15.6943,10.8722,global_yearly,,,,,
1803,15.7655,10.8196,global_yearly,,,,,
1804,15.4738,11.037,global_yearly,,,,,
1805,14.7498,11.0829,global_yearly,,,,,
1806,15.4453,10.465,global_yearly,,,,,
1807,14.546,10.6362,global_yearly,,,,,
1808,9.8688,9.2807,global_yearly,,,,,
1809,9.5547,9.0001,global_yearly,,,,,
1810,9.3163,8.5738,global_yearly,,,,,
1811,10.2122,9.0613,global_yearly,,,,,
1812,9.3446,9.4604,global_yearly,,,,,
1813,14.9117,10.4713,global_yearly,,,,,
1814,13.6422,10.3172,global_yearly,,,,,
1815,14.044,10.6433,global_yearly,,,,,
1816,14.5355,10.4474,global_yearly,,,,,
1817,14.801,10.2889,global_yearly,,,,,
1818,15.6127,10.119,global_yearly,,,,,
1819,15.0154,10.2932,global_yearly,,,,,
